YYYYMM,Value,Description,Unit
198912,149787.733,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
199001,135489.955,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
199002,118755.094,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
199003,125908.652,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
199004,120002.708,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
199005,122507.305,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
199006,135553.242,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
199007,147354.522,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
199008,150453.899,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
199009,138427.765,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
199010,133108.84,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
199011,126815.6,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
199012,139633.895,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
199101,145371.753,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
199102,120934.682,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
199103,121444.782,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
199104,115472.088,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
199105,127048.806,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
199106,135312.435,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
199107,147479.919,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
199108,147805.166,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
199109,132462.384,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
199110,128848.55,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
199111,132419.963,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
199112,136022.222,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
199201,141152.703,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
199202,125269.566,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
199203,131359.665,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
199204,123494.618,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
199205,127361.124,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
199206,133411.196,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
199207,153081.646,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
199208,145957.289,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
199209,137074.121,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
199210,131730.799,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
199211,129237.137,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
199212,142076.174,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
199301,142599.134,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
199302,134109.412,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
199303,140592.991,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
199304,124275.274,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
199305,124777.417,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
199306,141785.177,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
199307,163018.484,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
199308,160903.125,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
199309,138219.712,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
199310,135141.229,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
199311,136474.76,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
199312,148173.517,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
199401,157610.619,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
199402,135521.483,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
199403,138020.41,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
199404,123992.011,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
199405,130799.282,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
199406,152297.287,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
199407,157096.865,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
199408,156436.879,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
199409,136604.499,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
199410,134182.723,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
199411,127988.517,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
199412,140143.288,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
199501,147220.464,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
199502,132900.242,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
199503,131429.813,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
199504,123075.938,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
199505,130418.121,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
199506,142845.57,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
199507,163519.32,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
199508,172128.181,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
199509,139910.494,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
199510,135947.424,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
199511,138514.304,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
199512,151516.596,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
199601,157323.537,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
199602,142053.138,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
199603,143003.407,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
199604,129580.8,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
199605,138974.494,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
199606,150947.294,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
199607,163639.74,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
199608,167075.001,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
199609,147125.838,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
199610,147467.719,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
199611,150048.015,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
199612,157956.61,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
199701,166253.884,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
199702,139411.673,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
199703,142318.611,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
199704,136166.77,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
199705,140554.952,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
199706,150747.51,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
199707,172213.043,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
199708,167540.145,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
199709,156278.769,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
199710,156902.377,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
199711,150754.835,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
199712,165873.168,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
199801,162283.624,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
199802,141543.723,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
199803,149790.257,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
199804,137324.321,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
199805,150679.218,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
199806,163107.639,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
199807,178962.217,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
199808,178504.985,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
199809,160694.909,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
199810,149853.817,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
199811,143094.577,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
199812,157676.402,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
199901,164875.549,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
199902,141731.078,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
199903,150737.71,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
199904,142214.22,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
199905,148536.568,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
199906,161781.572,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
199907,183181.866,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
199908,177326.788,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
199909,158189.209,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
199910,150773.584,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
199911,144243.552,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
199912,157495.528,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
200001,178149.861,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
200002,159302.963,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
200003,156885.142,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
200004,142133.022,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
200005,155531.097,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
200006,168867.552,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
200007,174535.865,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
200008,181461.803,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
200009,162057.856,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
200010,159132.19,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
200011,155601.33,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
200012,172605.915,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
200101,177287.111,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
200102,149735.484,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
200103,155269.011,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
200104,140670.654,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
200105,151592.914,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
200106,162615.804,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
